49445,(75.4594,-295.396),(-743.898,151.17),(63.2275,-63.398),(790.128,-25.8695),(-751.49,278.022),(731.421,502.761),(-1305.16,634.62),(-386,439),(424.948,-310.817),(-1405.92,-33.6382),(852.094,276.823),(-648.128,788.13),(673.73,-766.711),(-29.599,90.7716),(-976.805,553.053),-1997,(-976.805,-553.053),(-29.599,-90.7716),(673.73,766.711),(-648.128,-788.13),(852.094,-276.823),(-1405.92,33.6382),(424.948,310.817),(-386,-439),(-1305.16,-634.62),(731.421,-502.761),(-751.49,-278.022),(790.128,25.8695),(63.2275,63.398),(-743.898,-151.17),(75.4594,295.396)
(-480.937,-65.4097),(9.74895,495.947),(-1182.46,-1593.6),(-363.224,272.338),(-301.893,-5.73149),(-511.234,613.042),(387.676,-18.2192),(854.593,939.582),(-190.036,-449.059),(-398.292,-146.084),(547.192,-762.86),(971.061,-90.7693),(-263.155,56.1325),(321.73,445.646),(44.6058,513.515),(4.89354,486.711),(72.2482,-509.902),(392.2,1154.01),(-108.301,89.238),(70.3725,318.674),(-84.7358,-91.7503),(-294.868,151.422),(-360.217,322.706),(842.418,961.69),(-418.767,909.245),(-755.88,364.335),(613.01,344.828),(-170.064,591.958),(-519.702,716.409),(91.1454,223.93),(474.633,-302.952),(-516.469,-796.634)
(-910.346,-440.099),(415.609,-576.938),(927.346,-732.815),(-112.905,-111.42),(456.78,298.106),(40.862,446.24),(219.287,121.095),(-534.238,-2510.72),(1475.17,133.001),(108.309,-699.971),(-1365.15,-365.16),(1140.77,429.554),(-172.35,122.993),(512.664,261.258),(-421.872,-872.599),(-443.05,193.27),(211.42,11.3253),(-45.9607,-763.805),(663.2,-6.28324),(707.045,959.129),(-130.465,839.785),(285.769,577.213),(-191.101,-219.861),(-353.92,139.471),(-1566.2,621.352),(-55.8779,-428.845),(-34.8008,-573.913),(-616.057,-458.719),(882.119,-94.1241),(520.477,-1433.75),(-610.696,-155.114),(-873.486,357.649)
(-1203.87,-814.008),(365.727,854.111),(-993.891,1496.36),(288.825,-79.3621),(1015.18,138.159),(73.8126,769.041),(-737.174,1727.65),(425.705,623.595),(-883.94,884.931),(-838.353,451.826),(1053.86,-756.082),(1566.36,1059.67),(378.476,312.122),(229.267,383.076),(-821.303,1410.8),(922.437,932.581),(1911.39,-381.24),(437.191,159.856),(-958.059,-410.457),(752.673,81.5802),(753.453,-257.798),(-90.3582,1454.5),(-645.998,1182.94),(1337.63,1312.31),(-781.53,87.7964),(988.883,444.068),(18.8647,-263.991),(-577.631,-1128.1),(-222.059,-2084.15),(-85.3072,893.258),(406.297,-143.22),(188.999,49.3305)
(714.314,301.668),(-448.076,88.9778),(-198.439,69.3348),(152.871,-828.848),(164.418,416.095),(396.83,-1119.09),(327.698,-348.104),(-222.101,116.189),(-1205.99,375.952),(-23.704,1035.12),(-188.012,126.755),(-789.327,588.444),(1047.7,35.0505),(-259.892,1048.59),(-198.246,1578.3),(-253.642,-459.24),(40.5403,-197.376),(-823.933,-596.353),(-241.535,821.821),(-144.274,-484.505),(-55.8708,351.129),(220.374,315.62),(912.66,-1185.19),(-8.91677,-215.331),(-718.757,1437.66),(553.828,-395.572),(-935.943,-61.8824),(656.101,53.4931),(34.7314,-426.598),(-555.422,-822.591),(656.854,877.144),(-306.687,-15.0549)
(-4.00952,354.451),(-468.489,-300.614),(564.43,-378.832),(-483.156,-839.305),(-204.695,675.577),(603.569,36.8652),(54.8019,25.704),(413.372,-1011.11),(12.1749,86.6499),(1001.77,-845.056),(-1043,-834.175),(133.576,236.721),(357.654,-374.632),(-287.674,72.3369),(21.914,142.234),(888.204,-490.609),(295.206,-504.07),(946.615,895.43),(354.487,-816.615),(-50.6916,398.989),(-1588.84,-668.208),(218.739,95.5468),(949.558,-337.878),(119.702,276.71),(1271.12,-1322.86),(-174.873,-465.689),(739.804,484.706),(-470.123,-294.368),(356.989,47.1828),(404.922,358.567),(141.837,174.789),(-434.739,-778.27)
231,(561.661,120.004),(418.638,-247.444),(-138.989,321.046),(527.628,-1524.49),(246.477,-278.25),(354.549,788.467),(522.905,-806.183),(-988,355),(705.691,399.213),(1211,842.253),(-713.395,428.939),(-333.628,-462.485),(-183.586,302.161),(719.815,810.342),(503.236,1559.33),-83,(254.016,-1649.12),(837.762,-714.427),(7.81366,-171.942),(-222.515,480.936),(-444.033,-244.957),(1131.14,-628.359),(789.037,-513.592),(-936,-173),(295.892,757.439),(324.71,-708.372),(154.835,237.168),(576.515,1754.94),(-66.2485,-365.581),(302.858,208.506),(495.852,34.8456)
(-4.00952,-354.451),(-434.739,778.27),(141.837,-174.789),(404.922,-358.567),(356.989,-47.1828),(-470.123,294.368),(727.392,-749.318),(-4.12566,420.022),(1271.12,1322.86),(1002.07,146.986),(949.558,337.878),(431.86,-252.878),(-1349.12,555.478),(-50.6916,-398.989),(354.487,816.615),(946.615,-895.43),(544.426,593.866),(888.204,490.609),(21.914,-142.234),(-287.674,-72.3369),(187.7,166.317),(786.55,-934.796),(-1222.67,915.636),(1145.28,487.185),(101.97,-335.87),(409.789,676.664),(188.243,-148.855),(589.082,-6.98057),(35.0247,-788.307),(-403.125,809.817),(564.43,378.832),(-206.54,340.064)
(714.314,-301.668),(834.455,-179.965),(656.854,-877.144),(-555.422,822.591),(34.7314,426.598),(656.101,-53.4931),(-979.421,207.556),(553.828,395.572),(-718.757,-1437.66),(1065.75,147.301),(912.66,1185.19),(75.0961,-270.838),(-207.094,-335.55),(-144.274,484.505),(-241.535,-821.821),(-823.933,596.353),(-77.4067,101.462),(-253.642,459.24),(-198.246,-1578.3),(-259.892,-1048.59),(1155.1,111.181),(-739.14,-252.09),(-423.602,63.7616),(26.0074,-974.501),(-1301.9,-258.005),(-455.783,-152.054),(135.73,420.368),(19.7512,1190.35),(13.1952,-400.516),(629.673,-1041.7),(-1283.39,-22.0078),(-582.469,-160.039)
(-1203.87,814.008),(850.228,-815.552),(406.297,143.22),(-85.3072,-893.258),(-222.059,2084.15),(-577.631,1128.1),(-28.1964,490.654),(988.883,-444.068),(-781.53,-87.7964),(33.4995,1049.27),(-645.998,-1182.94),(-304.967,-1367.7),(526.035,301.06),(752.673,-81.5802),(-958.059,410.457),(437.191,-159.856),(1719.99,251.021),(922.437,-932.581),(-821.303,-1410.8),(229.267,-383.076),(318.666,-24.6774),(1394.19,-665.026),(809.626,989.247),(-795.884,-287.498),(-1014.16,-693.531),(172.204,-614.306),(-1000.03,-1600.65),(116.58,1177.8),(787.766,-94.8975),(374.049,82.7454),(-993.891,-1496.36),(152.601,-944.487)
(-910.346,440.099),(-936.447,-201.619),(-501.293,209.45),(465.144,1289.53),(684.597,222.509),(-559.638,570.632),(-70.3373,651.648),(82.1074,554.191),(-1731.66,-529.428),(-235.666,-239.914),(-257.959,334.035),(41.8086,-646.214),(-313.695,-839.785),(479.627,-1002.39),(511.977,-9.29591),(193.759,876.535),(378.907,248.824),(-273.097,15.0444),(-529.275,726.367),(572.474,-548.702),(-172.35,-122.993),(1061.02,-295.391),(-1559.8,333.072),(248.122,678.027),(1475.17,-133.001),(-591.129,2343.38),(141.552,-85.5587),(12.2134,-429.44),(456.78,-298.106),(-29.979,131.365),(873.011,623.412),(259.579,639.899)
(-480.937,65.4097),(-600.431,1093.24),(571.333,377.587),(87.7621,-309.154),(-818.222,-494.862),(-156.348,-567.137),(437.972,-182.086),(-797.016,-156.632),(-750.242,-812.889),(735.358,-1086.31),(-427.337,-237.752),(-383.889,325.213),(-328.696,160.751),(-144.236,-405.471),(-253.579,-134.02),(605.321,-996.675),(-713.395,-428.939),(125.346,-392.579),(-5.58123,-849.868),(493.904,-840.291),(-183.408,-190.296),(971.061,90.7693),(547.192,762.86),(-398.292,146.084),(-190.036,449.059),(831.443,-1114.81),(387.676,18.2192),(-511.234,-613.042),(-301.893,5.73149),(-363.224,-272.338),(-1182.46,1593.6),(9.74895,-495.947)
